id,x0,x1
677,0.39807561,0.32445982
678,0.42568256,0.33620103
679,0.46695340,0.35413754
680,0.52175334,0.37857043
681,0.58961537,0.41050388
682,0.66995517,0.45106884
683,0.76202029,0.50155659
684,0.86514906,0.56291176
685,0.97901957,0.63542734
686,1.10334592,0.71934968
687,1.23789203,0.81486063
688,1.38492181,0.92381588
689,1.54432174,1.04626040
690,1.71595061,1.18229177
691,1.89864132,1.33326562
692,2.08894521,1.50299902
693,2.28107354,1.69694671
694,2.47202505,1.91653387
695,2.65699302,2.14890394
696,2.83169102,2.38909055
697,3.00170336,2.63261633
698,3.16799846,2.87869546
699,3.34156268,3.11970264
700,3.52482234,3.35342234
701,3.71640447,3.58037011
702,3.91743663,3.79899094
703,4.12568061,4.01075365
704,4.34324585,4.21292775
705,4.56643971,4.40887034
706,4.79548027,4.59794552
707,5.02871940,4.78181643
708,5.26137973,4.96641916
709,5.49345896,5.15175191
710,5.72417342,5.33878089
711,5.95360947,5.52737596
712,6.18195550,5.71728934
713,6.40930401,5.90839573
714,6.63574944,6.10057135
715,6.86057697,6.29463727
716,7.08201789,6.49255877
717,7.29873436,6.69564243
718,7.51060607,6.90377550
719,7.71873915,7.11564722
720,7.92453004,7.32979462
721,8.12908412,7.54512373
722,8.33532307,7.75883966
723,8.54389943,7.97027499
724,8.75170434,8.17398586
725,8.94982992,8.36180294
726,9.13744427,8.53450457
727,9.31406693,8.69253443
728,9.47909732,8.83649961
729,9.63214378,8.96679842
730,9.77278054,9.08388942
731,9.90062818,9.18819657
732,10.01539956,9.28004715
733,10.11678902,9.35980414
734,10.20453183,9.42779089
735,10.27843211,9.48425105
736,10.34307902,9.53305450
737,10.40076929,9.57613388
738,10.45383755,9.61537366
739,10.50223041,9.65084379
740,10.54590071,9.68260706
741,10.58725455,9.71245434
742,10.62382578,9.73867541
743,10.60719595,9.73178711
744,10.57426248,9.71724799
745,10.52511675,9.69487170
746,10.45958912,9.66503666
747,10.37737003,9.62843036
748,10.27823009,9.58559030
749,10.16248846,9.53579196
750,10.03084607,9.47742860
751,9.89569587,9.41235614
752,9.76372369,9.34105857
753,9.63550049,9.26322021
754,9.51139428,9.17897267
755,9.39163047,9.08865860
